p:N_excitatory,p:additional_freq,p:initial_freq,p:input_steps,p:learning_rate,p:refrac_e,p:refrac_i,p:rest_steps,p:tau_e2e,p:tau_e2i,p:tau_excitatory,p:tau_i2e,p:tau_i2i,p:tau_inhibitory,p:tau_post_trace,p:tau_pre_trace,p:tau_theta,p:theta_delta,p:theta_init,p:w_ee_colsum,p:w_ei,p:w_ie_over_ei,objective,job_id,m:timestamp_submit,m:timestamp_gather
104,20.210061599944442,54.71007156107672,0.28062939182985014,0.004940605128529281,0.00025758503205740665,0.015797621814975085,0.06058640332815517,0.008266823147242336,0.0022179659139445643,0.7348422705912647,0.04459241780008019,6.845015134636305e-05,0.08507021337834658,0.026595390800309225,0.07793120199473645,3048.3242861892036,0.0008480872521667898,0.016128129198010092,19.175243565235256,36.182623705358516,1.179202508557544,0.06550154875643228,3,0.11031293869018555,355.2312352657318
372,27.62888113807813,20.354308617084964,0.25525487777502526,0.004330281736933371,0.005428469849693606,0.04556488876416714,0.07196537028895499,3.694742443317474e-05,6.005480158123618e-05,0.004740759285717719,0.0007969610072571201,0.006244810203180723,0.001070439674112776,0.547309981759237,0.04403377097097648,418.28468408666794,1.3337598690647625e-05,0.02510595094299897,22.27431011585785,8.934052926418543,0.07370905654349262,0.06550154875643228,94,218.26272082328796,379.60023975372314
134,25.774245916955834,12.764493281748303,0.31235091673309473,0.0018209366802763205,0.09815822453112596,0.000998742813358262,0.08072584598898146,0.007303331075905492,0.0006862950766464673,0.6419292860436953,0.037074491335621684,7.353412124531777e-05,0.24543622559205322,0.0010680796049316922,0.016794472153903547,41352.887936353356,0.00013852794530495402,0.039368860978677644,75.00420289880175,5.755922717749768,1.4244070747650917,0.06550154875643228,26,0.11099767684936523,445.6562407016754
97,7.463942830495384,52.889022331018154,0.2107321791128523,0.023907253925954986,0.0007633888854314614,8.971430703965033e-05,0.11275662443067447,0.007033662297565483,0.00955451937360778,0.027025620446712372,0.022022821273503062,0.00658439682710167,0.18015015405223694,0.23551555845355904,0.09778284263312251,814.8657367074093,3.777546183323037e-05,0.005254702905726549,30.76985515063832,0.5837157379255867,10.30145669086788,0.038578905933551705,34,0.11122846603393555,452.1372528076172
394,8.025326144638552,57.03135653620464,0.11077344798906716,0.0003888135867014341,0.09988095459031938,0.00020728472595971995,0.042291288309132674,0.018593199043622177,0.0013129464548714235,0.006252020199291087,0.00043442868654462296,0.00016268794463406756,0.0005216111810720004,0.022589999394501337,0.0031135198767535633,1472.6268382403134,8.26195743254563e-06,0.009038893742355296,17.979491148985137,1.6221448390388655,23.215231884961522,0.045757490560675115,104,453.04608273506165,481.5344498157501
387,15.631202810701117,24.689889102395004,0.26013388032696344,0.11134839292561984,0.0030304217453554147,0.0004962914954991664,0.09317321260815228,0.019355416156465438,0.01898080867729478,0.07764230549405422,0.0017524611353440845,0.00282455553567804,0.0006384083335243143,0.005375079027673528,0.06902432137322778,2171.082660943977,0.0010934843844741277,0.05072773658961146,17.2472738896331,2.1365289944345793,0.06516010593854327,0.0506099933550872,99,347.63024282455444,488.2962555885315
374,22.181604415592982,17.07857633511709,0.20639776902059498,0.0007825295201727783,0.006892771584000219,0.005733927992831205,0.07980289720687454,8.073195860048593e-05,5.557441511229379e-05,0.3269889888018487,0.05299649340075872,0.00015002561343188274,0.00035196047082830414,0.0006763422698881618,0.34065824639608117,2706.8544632829376,4.9932695437013425e-05,0.008941470795707585,18.696726474378046,1.1809639352794994,4.788116895749362,0.038578905933551705,93,204.50320959091187,547.9306135177612
219,10.458040632116498,17.684791138938735,0.2076469743679232,0.029672177826483875,0.012181481676269812,0.00032743841294568453,0.14894701346586103,0.0006298114332731335,9.861718307448943e-05,1.3082614280811165,0.0006213804617930821,0.0012392152737988223,0.0009609614626877523,0.09990770843233687,0.456376221357713,19959.97448152078,9.622765482709597e-05,0.0013447148468488633,16.161891124454794,0.5667189292720508,0.0775300889367235,0.038578905933551705,28,0.11105513572692871,556.5652425289154
371,8.081015881054741,21.99618980499573,0.2255896575329261,0.005295219997836802,0.0042548110705687234,0.00017267914207423808,0.1195214334496248,0.0038141933118819777,0.01605343022106845,1.3873367310784626,0.04716503103887575,0.0006515349819789483,0.23668111851812101,0.0031699536246889235,0.003968576965336231,524.303335070144,0.00037174084374969496,0.000715036706994836,54.00999945630749,249.34116672264162,0.19051178481261366,0.038578905933551705,71,55.632020711898804,569.6499383449554
94,20.69371865122199,43.21257528199363,0.20707845250203272,0.0007120156814048002,0.13927190613486434,0.001141338976012704,0.06523285556012715,0.003880036720296534,0.0004114339776661684,0.5834808543683938,0.020885016924229102,0.0009035322981418577,0.1889617489651434,0.016076518668669208,0.18427181833818704,2446.7499957908362,1.1124645376548761e-05,0.0429400488087047,32.354347549029434,33.95197679113769,0.3695555682649237,0.03621217265444471,36,0.11128497123718262,632.154628276825
358,22.26687997045023,15.634509182925296,0.33411187673720827,0.0014883694226487036,0.004841762422684628,0.0020250970685138188,0.0368786339888086,6.893378865211529e-05,4.192625331484664e-05,0.018204328905331513,0.0004710420122244156,8.926728438416698e-05,0.0006249092459314617,0.0383080807148651,0.004638605725577371,19008.988224674406,4.2688872968528135e-05,0.002281540442978271,19.08623499638811,0.4472808242750633,0.08549406372245863,0.038578905933551705,91,173.0600185394287,641.0122056007385
193,9.663328169672376,49.982913672878524,0.25947092227433466,0.00043731164751798223,0.028010006209820252,0.0049011068226076275,0.07728274870258175,4.142545977108147e-05,0.006946905156129947,0.5123478344341207,0.0014686478044718938,0.0008272693716240006,0.0003334155635164443,0.0010813922172996184,0.15763770581366734,1251.1669050155106,9.796376553680156e-06,0.012766076474602026,20.8323604233358,0.5719015130057961,0.05727411736840962,0.13076828026902382,105,482.3297827243805,658.5731048583984
311,31.720820262402857,38.39852796408448,0.07935309041791459,0.0014401929920571752,0.0005099413089508292,0.0013812367856914506,0.10192394514576607,0.011762090660316952,0.00017306353262935037,0.035196811886880834,0.0033996793093186884,0.00010486959152077605,0.19553887031643843,0.01101661873897682,0.02281681545136318,362.10630348339225,2.6217718922737968e-06,0.4018879487018881,22.50521471878332,61.00004407401806,10.10999220923427,0.06550154875643228,80,91.12323331832886,699.445615530014
147,10.424208893919772,20.570027453230807,0.30027565757173086,0.05455322632590852,0.003366058163062946,0.0001480814370630447,0.05744771773302507,5.670688655551957e-05,0.0015176896120303585,0.30109723637070174,0.00020036511066729768,0.011379113173178341,0.0003550079406444271,0.13290122892887196,0.008282281022208593,167240.16057130575,2.712620470934928e-05,0.0006919607003094823,15.847529706004705,0.3712253859085128,0.0777669046993136,0.038578905933551705,107,548.7927765846252,710.3543243408203
347,24.52247019596937,48.70961234074468,0.2811172949769608,0.0008062687062864452,0.0022412170857920746,0.028104839040954968,0.08082608237093053,7.378685209908685e-05,0.0053568011040455565,0.03277651958970791,0.000301118147781066,0.0001397833032089342,0.02238364434789375,0.03783830581213157,0.009241576735411039,98170.90068081814,1.7961289345684715e-06,0.04650300470658905,55.363026364937554,0.8210805460557409,0.08630270631165225,0.045757490560675115,49,0.11171460151672363,731.4962511062622
144,7.331125437227144,25.077012052617025,0.312150871149182,0.09920601740710723,0.0017617671053056267,0.02331949164502223,0.06909862791753882,0.00022144744763324915,0.02079385227948862,0.013758821198431206,0.00018658487026855945,0.00018263322178022886,0.00057285111966152,0.04126743309480273,0.0010466237271147738,34137.72881907404,0.00027268127644254847,0.01616242039778766,72.10557605756415,3.4597050319026335,0.056106123181186,0.2676062401770315,108,557.670307636261,732.165776014328
259,9.804353345987625,41.55364927849074,0.10781876503515649,0.038697650614443066,0.0001698690388289236,9.537002306344027e-05,0.0702411897249166,0.0011930883739641315,0.01641565168921617,0.00368711402105838,0.05271766510658855,0.0032402032476501145,0.0012466642067204396,0.010175577175850069,0.0028138624969313445,409.28141685621887,0.0005983085498493985,0.30739163439418016,19.818881414502197,1.217932220195593,0.1735194878346507,0.09151498112135022,4,0.11034369468688965,846.9222376346588
130,7.495113093856306,42.43528176510684,0.13209769778293148,0.0009567129185429325,0.00025210892807150335,0.0003299283462642719,0.0989687357973264,0.00129142758742405,0.003320996869335313,0.0036189253727350783,0.0007305228796387058,0.000309587915130824,0.29444020336779225,0.002229962198320121,0.005419770310112375,2276.6470215845407,0.00010319911972875542,0.05852088070258137,21.39181151131095,292.40510342779055,0.19650361697800925,0.2798406965940431,72,62.347463846206665,854.7534611225128
93,26.98762889854792,36.31346475473381,0.24238039334799585,0.026855463718871684,0.0008600447366170165,0.0045320136255596445,0.13998811240591252,0.0006783299906417635,0.00022994743328169192,0.6141572059245355,0.00024461289765091406,0.0033553906139526975,0.001959745887887686,0.025284433343971877,0.0006777999037318816,5613.783031799106,0.00040668462959210733,0.01073496981177833,18.143607325720392,72.29001533694334,2.405619408561179,0.3098039199714863,66,49.85629892349243,881.5432412624359
